📋 Showing application logs...
[33mapi-gateway-1           | 2025/11/06 13:06:37 [info] 31#31: *3 client 172.18.0.1 closed keepalive connection[0m
payment-service-1       | timestamp="2025-11-06T13:06:57.808+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" event="PaymentProcessingAttempt" userId="1762414601261" email="alice@paypal.com" amount="300" recipient="landlord@apartments.com"
payment-service-1       | timestamp="2025-11-06T13:06:57.809+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="84" content="{"amount":300,"recipient":"landlord@apartments.com","description":"Monthly rent"}" event="PaymentProcessingSuccess" paymentId="1762414617808" userId="1762414601261" amount="300"
payment-service-1       | timestamp="2025-11-06T13:06:59.843+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-11-06T13:06:59.851+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="AuthenticationSuccess" userId="1762414601261" email="alice@paypal.com"
payment-service-1       | timestamp="2025-11-06T13:06:59.851+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="PaymentProcessingAttempt" userId="1762414601261" email="alice@paypal.com" amount="75.25" recipient="utilities@company.com"
payment-service-1       | timestamp="2025-11-06T13:06:59.854+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="82" content="{"amount":75.25,"recipient":"utilities@company.com","description":"Electric bill"}" event="PaymentProcessingSuccess" paymentId="1762414619851" userId="1762414601261" amount="75.25"
payment-service-1       | timestamp="2025-11-06T13:07:01.885+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="AuthenticationAttempt" hasToken="true"
payment-service-1       | timestamp="2025-11-06T13:07:01.892+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="AuthenticationSuccess" userId="1762414602440" email="bob@paypal.com"
payment-service-1       | timestamp="2025-11-06T13:07:01.892+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="PaymentProcessingAttempt" userId="1762414602440" email="bob@paypal.com" amount="50" recipient="john@example.com"
payment-service-1       | timestamp="2025-11-06T13:07:01.893+05:30" Method="POST" URL="/process" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="78" content="{"amount":50,"recipient":"john@example.com","description":"Coffee payment"}" event="PaymentProcessingSuccess" paymentId="1762414621892" userId="1762414602440" amount="50"
notification-service-1  | 
notification-service-1  | > notification-service@1.0.0 start
notification-service-1  | > node server.js
notification-service-1  | 
notification-service-1  | timestamp="2025-11-06T13:06:22.028+05:30" event="ServerStart" service="NOTIFICATION-SERVICE" port="3003"
notification-service-1  | timestamp="2025-11-06T13:06:39.015+05:30" Method="GET" URL="/health" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="HealthCheck" service="notification-service"
notification-service-1  | timestamp="2025-11-06T13:06:51.720+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="144" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $50 to john@example.com was successful."}" event="NotificationReceived" userId="1762414601261" email="alice@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-11-06T13:06:51.721+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="144" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $50 to john@example.com was successful."}" event="NotificationStored" notificationId="036cf6bc-ace3-49ff-8f24-a4aed53fc7be" userId="1762414601261"
notification-service-1  | timestamp="2025-11-06T13:06:53.739+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="147" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" event="NotificationReceived" userId="1762414601261" email="alice@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-11-06T13:06:53.740+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="147" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $150.75 to sarah@store.com was successful."}" event="NotificationStored" notificationId="0f5d4b91-4f28-4726-8628-738512bb344e" userId="1762414601261"
notification-service-1  | timestamp="2025-11-06T13:06:55.776+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="149" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" event="NotificationReceived" userId="1762414601261" email="alice@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-11-06T13:06:55.776+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="149" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $25.5 to mike@restaurant.com was successful."}" event="NotificationStored" notificationId="17221e77-2cc8-4b6b-8157-a4356a984bb9" userId="1762414601261"
notification-service-1  | timestamp="2025-11-06T13:06:57.812+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="152" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $300 to landlord@apartments.com was successful."}" event="NotificationReceived" userId="1762414601261" email="alice@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-11-06T13:06:57.813+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="152" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $300 to landlord@apartments.com was successful."}" event="NotificationStored" notificationId="11a71e47-2df4-48aa-843c-b730cbaf5c55" userId="1762414601261"
notification-service-1  | timestamp="2025-11-06T13:06:59.859+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="152" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $75.25 to utilities@company.com was successful."}" event="NotificationReceived" userId="1762414601261" email="alice@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-11-06T13:06:59.860+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="152" content="{"userId":1762414601261,"email":"alice@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $75.25 to utilities@company.com was successful."}" event="NotificationStored" notificationId="66be90ad-cbeb-428e-b66f-7c391a75b01d" userId="1762414601261"
notification-service-1  | timestamp="2025-11-06T13:07:01.896+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="142" content="{"userId":1762414602440,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $50 to john@example.com was successful."}" event="NotificationReceived" userId="1762414602440" email="bob@paypal.com" type="PAYMENT_SUCCESS"
notification-service-1  | timestamp="2025-11-06T13:07:01.897+05:30" Method="POST" URL="/send" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="notification-service:3003" cookie="-" content-type="application/json" connection="close" length="142" content="{"userId":1762414602440,"email":"bob@paypal.com","type":"PAYMENT_SUCCESS","message":"Your payment of $50 to john@example.com was successful."}" event="NotificationStored" notificationId="f7947657-6b58-440e-9ad7-7b59b153c0b0" userId="1762414602440"
auth-service-1          | timestamp="2025-11-06T13:06:47.477+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:47.478+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationSuccess" userId="1762414603673" email="charlie@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:48.520+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:48.520+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationSuccess" userId="1762414601261" email="alice@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:49.555+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:49.556+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationSuccess" userId="1762414602440" email="bob@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:50.592+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:50.593+05:30" Method="POST" URL="/verify" User-Agent="curl/8.9.1" Pragma="-" Cache-Control="-" Accept="*/*" Accept-encoding="-" Accept-charset="-" language="-" host="localhost" cookie="-" content-type="application/json" connection="close" length="0" content="{}" event="TokenVerificationSuccess" userId="1762414603673" email="charlie@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:51.683+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:51.683+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationSuccess" userId="1762414601261" email="alice@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:53.728+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:53.729+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationSuccess" userId="1762414601261" email="alice@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:55.766+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:55.766+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationSuccess" userId="1762414601261" email="alice@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:57.805+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationAttempt" hasToken="true"
auth-service-1          | timestamp="2025-11-06T13:06:57.806+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationSuccess" userId="1762414601261" email="alice@paypal.com"
auth-service-1          | timestamp="2025-11-06T13:06:59.848+05:30" Method="POST" URL="/verify" User-Agent="axios/1.13.2" Pragma="-" Cache-Control="-" Accept="application/json, text/plain, */*" Accept-encoding="gzip, compress, deflate, br" Accept-charset="-" language="-" host="auth-service:3001" cookie="-" content-type="application/json" connection="close" length="207" content="{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjE3NjI0MTQ2MDEyNjEsImVtYWlsIjoiYWxpY2VAcGF5cGFsLmNvbSIsImlhdCI6MTc2MjQxNDYwNCwiZXhwIjoxNzYyNTAxMDA0fQ.ZY7mbBsaCS6u-2p81Mjw6SP8NTWJBKBl-VQ0KA_re5E"}" event="TokenVerificationAttempt" hasToken="true"
